2016-07-16 12:19:06,944 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial8_DoWhileLoops/src/test/resources
2016-07-16 12:19:14,284 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial9_SwitchCaseStatements:Tutorial9_SwitchCaseStatements:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial9_SwitchCaseStatements/pom.xml.
2016-07-16 12:19:14,432 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial9_SwitchCaseStatements/src
2016-07-16 12:19:14,432 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Tutorial9_SwitchCaseStatements/src overlaps with sources folder /Tutorial9_SwitchCaseStatements/src
2016-07-16 12:19:14,439 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial9_SwitchCaseStatements/src/test/java because it overlaps with /Tutorial9_SwitchCaseStatements/src
2016-07-16 12:19:14,481 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-16 12:19:14,821 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial9_SwitchCaseStatements:Tutorial9_SwitchCaseStatements:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial9_SwitchCaseStatements/pom.xml.
2016-07-16 12:19:14,909 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial9_SwitchCaseStatements/src
2016-07-16 12:19:14,909 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Tutorial9_SwitchCaseStatements/src overlaps with sources folder /Tutorial9_SwitchCaseStatements/src
2016-07-16 12:19:14,913 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial9_SwitchCaseStatements/src/test/java because it overlaps with /Tutorial9_SwitchCaseStatements/src
